title,place,date
End Police Brutality Provo- Counter Protest,Utah,Jun 29,https://www.rallylist.com/end-police-brutality-provo-counter-protest/
Mass March to Defund the NYPD & Abolish the Police,New York,Jun 29,https://www.rallylist.com/mass-march-to-defund-the-nypd-abolish-the-police/
Rally for Political Prisoners – What’s the Call? Free Them All!,Pennsylvania,Jun 28,https://www.rallylist.com/rally-for-political-prisoners-whats-the-call-free-them-all/
Rally to Defund the Police & Tax the Rich,Ohio,Jun 28,https://www.rallylist.com/rally-to-defund-the-police-tax-the-rich/
Nationwide Strike Against Oppression And Police Brutality,Washington DC,July 4,https://www.rallylist.com/nationwide-strike-against-oppression-and-police-brutality/
Wenatchee Pride’s Black Trans & Queer Lives Matter March,Washington,Jun 28,https://www.rallylist.com/wenatchee-prides-black-trans-queer-lives-matter-march/
All Black Lives Matter March and Rally,Illinois,Jun 28,https://www.rallylist.com/all-black-lives-matter-march-and-rally/
We Will NOT Be Silent March,Ohio,Jun 28,https://www.rallylist.com/we-will-not-be-silent-march/
Silver Spring Black Lives Matter Protest,Maryland,Jun 28,https://www.rallylist.com/silver-spring-black-lives-matter-protest/
Black Lives Matter March/Rally- Turning Outrage Into Real Action,Missouri,Jun 28,https://www.rallylist.com/black-lives-matter-march-rally-turning-outrage-into-real-action/
Trump Pence #OutNOW in the Black Trans Lives Matter March,Illinois,Jun 28,https://www.rallylist.com/trump-pence-outnow-in-the-black-trans-lives-matter-march/
International March for Black Lives – Columbus,Ohio,Jun 27,https://www.rallylist.com/international-march-for-black-lives-columbus/
Taking Back Pride: #Justice4GeorgeFloyd #DefendBlackTransFolks – Minneapolis,Minnesota,Jun 28,https://www.rallylist.com/taking-back-pride-justice4georgefloyd-defendblacktransfolks-minneapolis/
"#BlackLivesMatter on Wheels (Cars, Bikes, Skates) – Las Vegas",Nevada,Jun 27,https://www.rallylist.com/blacklivesmatter-on-wheels-cars-bikes-skates-las-vegas/
Black LGBT Lives Matter Protest – Miamisburg,Ohio,Jun 28,https://www.rallylist.com/black-lgbt-lives-matter-protest-miamisburg/
"Black Lives Matter, Stop Killing Us 4: Say Her Name – Rochester",New York,Jun 27,https://www.rallylist.com/black-lives-matter-stop-killing-us-4-say-her-name-rochester/
Black Lives Matter Here – Counterprotest to Pro-Police Rally – Saint Paul,Minnesota,Jun 27,https://www.rallylist.com/black-lives-matter-here-counterprotest-to-pro-police-rally-saint-paul/
FREE OUR PEOPLE/NO MORE POLICE BRUTALITY,California,Jun 27,https://www.rallylist.com/free-our-people-no-more-police-brutality/
Black Out March – United States Capitol,Washington DC,July 4,https://www.rallylist.com/black-out-march-united-states-capitol/
"Black Lives Matter – Columbia, Missouri",Missouri,Jun 28,https://www.rallylist.com/black-lives-matter-columbia-missouri/
Caravan For Change – Austin,Texas,Jun 27,https://www.rallylist.com/caravan-for-change-austin/
The People Have the Right to Protest Racism — Rally and March,Pennsylvania,July 5,https://www.rallylist.com/the-people-have-the-right-to-protest-racism-rally-and-march/
BLM Michigan Protest and Rally in Lansing,Michigan,Jun 29,https://www.rallylist.com/blm-michigan-protest-and-rally-in-lansing/
Cancel Rent and Mortgages: No Evictions In Minneapolis!,Minnesota,Jun 30,https://www.rallylist.com/cancel-rent-and-mortgages-no-evictions-in-minneapolis/
Queers For Black Lives Matter Protest March,Maryland,Jun 27,https://www.rallylist.com/queers-for-black-lives-matter-protest-march/
WE ARE ONE March for Unity & Change,Washington,Jun 27,https://www.rallylist.com/we-are-one-march-for-unity-change/
BLACK LIVES MATTER Rosendale Community March,New York,Jun 27,https://www.rallylist.com/black-lives-matter-rosendale-community-march/
BLACK LIVES MATTER CAR~CARAVAN FOR CHANGE~ A Social Distance Protest By Car,California,Jun 27,https://www.rallylist.com/black-lives-matter-carcaravan-for-change-a-social-distance-protest-by-car/
CDN Coalition For Liberty – “I’ll Meet You On The Hill”,Ontario,July 1,https://www.rallylist.com/cdn-coalition-for-liberty-ill-meet-you-on-the-hill/
Oak Park Black Lives Matter Youth Rally,Illinois,Jun 27,https://www.rallylist.com/oak-park-black-lives-matter-youth-rally/
Tenants Rising: Cancel Evictions Caravan,Massachusetts,Jun 27 - 28,https://www.rallylist.com/tenants-rising-cancel-evictions-caravan/
Women Against Injustice – San Antonio,Texas,Jun 27,https://www.rallylist.com/women-against-injustice-san-antonio/
Black LGBTQ Lives Matter – New London,Connecticut,Jun 27,https://www.rallylist.com/black-lgbtq-lives-matter-new-london/
DFW Pride for #BlackLivesMatter,Texas,Jun 28,https://www.rallylist.com/dfw-pride-for-blacklivesmatter/
Power to the People | Political Revolution,Washington DC,July 4,https://www.rallylist.com/power-to-the-people-political-revolution/
Queer Liberation March for Black Lives and Against Police Brutality,New York,Jun 28,https://www.rallylist.com/queer-liberation-march-for-black-lives-and-against-police-brutality/
No Police Contract Protest At City Hall,Washington,Jun 29,https://www.rallylist.com/no-police-contract-protest-at-city-hall/
Justice for Black Women Protest Rally,Ohio,Jun 27,https://www.rallylist.com/justice-for-black-women-protest-rally/
The Ride for Black Lives – Boston,Massachusetts,Jun 27,https://www.rallylist.com/the-ride-for-black-lives-boston/
George Floyd Memorial March On Washington,Washington DC,July 4,https://www.rallylist.com/george-floyd-memorial-march-on-washington/
March against police brutality and racial injustice – Manchester,New Hampshire,Jun 28,https://www.rallylist.com/march-against-police-brutality-and-racial-injustice-manchester/
Black Lives Matter Rally & Vigil,Massachusetts,Jun 28,https://www.rallylist.com/black-lives-matter-rally-vigil/
March for Justice – Ocracoke Island,North Carolina,Jun 28,https://www.rallylist.com/march-for-justice-ocracoke-island/
Solidarity Protest – Toledo,Ohio,Jun 28,https://www.rallylist.com/solidarity-protest-toledo/
Black LGBTQ+ Lives Matter – Tacoma,Washington,Jun 27,https://www.rallylist.com/black-lgbtq-lives-matter-tacoma/
Defund the Police: Socialism and Black Liberation,Florida,Jun 28,https://www.rallylist.com/defund-the-police-socialism-and-black-liberation/
BLM Pride Protest – Schenectady,New York,Jun 27,https://www.rallylist.com/blm-pride-protest-schenectady/
Silent Sit In Against Racisim – Lansing,Michigan,Jun 27,https://www.rallylist.com/silent-sit-in-against-racisim-lansing/
St. Pete LGBTQ+ Solidarity Protest for Black Lives Matter,Florida,Jun 27,https://www.rallylist.com/st-pete-lgbtq-solidarity-protest-for-black-lives-matter/
Cincinnati March For Racial Justice II,Ohio,Jun 28,https://www.rallylist.com/cincinnati-march-for-racial-justice-ii/
Black Lives Matter Rally and March – Portage,Indiana,Jun 27,https://www.rallylist.com/black-lives-matter-rally-and-march-portage/
BLACK TRANS LIVES MATTER STONEWALL Open Rally – Edmonton,Alberta,Jun 28,https://www.rallylist.com/black-trans-lives-matter-stonewall-open-rally-edmonton/
Black Lives Matter #sayhername – Albany,New York,Jun 27,https://www.rallylist.com/black-lives-matter-sayhername-albany/
March for Tomorrow – Salem,Oregon,Jun 27,https://www.rallylist.com/march-for-tomorrow-salem/
March For Change – Ashland KY,Kentucky,Jun 27,https://www.rallylist.com/march-for-change-ashland-ky/
